England and Wales Code,England and Wales,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
K04000001,England and Wales,-8,Does not apply,0
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh: Bangladeshi",644881
K04000001,England and Wales,2,"Asian, Asian British or Asian Welsh: Chinese",445619
K04000001,England and Wales,3,"Asian, Asian British or Asian Welsh: Indian",1864318
K04000001,England and Wales,4,"Asian, Asian British or Asian Welsh: Pakistani",1587819
K04000001,England and Wales,5,"Asian, Asian British or Asian Welsh: Other Asian",972783
K04000001,England and Wales,6,"Black, Black British, Black Welsh, Caribbean or African: African",1488381
K04000001,England and Wales,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",623119
K04000001,England and Wales,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",297778
K04000001,England and Wales,9,Mixed or Multiple ethnic groups: White and Asian,488225
K04000001,England and Wales,10,Mixed or Multiple ethnic groups: White and Black African,249596
K04000001,England and Wales,11,Mixed or Multiple ethnic groups: White and Black Caribbean,513042
K04000001,England and Wales,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,467113
K04000001,England and Wales,13,"White: English, Welsh, Scottish, Northern Irish or British",44355038
K04000001,England and Wales,14,White: Irish,507465
K04000001,England and Wales,15,White: Gypsy or Irish Traveller,67768
K04000001,England and Wales,16,White: Roma,100981
K04000001,England and Wales,17,White: Other White,3667997
K04000001,England and Wales,18,Other ethnic group: Arab,331844
K04000001,England and Wales,19,Other ethnic group: Any other ethnic group,923775
